title;Índice de volume das atividades turísticas
subtit;Variação sobre o mês anterior, em %
dfont;IBGE
vtype;rvalue
decimal;2
ylines;
blk_dx;80
;
;
;
;
;
data;begin
x;y
fev/11;-1.2
mar/11;-3.1
abr/11;4.1
mai/11;-0.3
jun/11;0.3
jul/11;-1.2
ago/11;-0.7
set/11;-1
out/11;-2.5
nov/11;0.4
dez/11;3.2
jan/12;-2.8
fev/12;-0.2
mar/12;0.1
abr/12;-1.3
mai/12;-0.3
jun/12;4.2
jul/12;-3.8
ago/12;0.9
set/12;2.1
out/12;1.2
nov/12;0.7
dez/12;0.6
jan/13;-3.7
fev/13;-2.2
mar/13;6.8
abr/13;0.5
mai/13;-0.8
jun/13;1.2
jul/13;2
ago/13;-1.6
set/13;-1.3
out/13;2.3
nov/13;-0.5
dez/13;-0.1
jan/14;1.8
fev/14;3.1
mar/14;-5.6
abr/14;2.1
mai/14;2.4
jun/14;-6.9
jul/14;4.6
ago/14;1.9
set/14;-0.9
out/14;-2.4
nov/14;0.3
dez/14;-1.6
jan/15;0.5
fev/15;-0.6
mar/15;1.6
abr/15;-0.4
mai/15;2.9
jun/15;-5.8
jul/15;-1.2
ago/15;8.6
set/15;-4.9
out/15;1.6
nov/15;-1.9
dez/15;-1.1
jan/16;2.2
fev/16;0.9
mar/16;-2.6
abr/16;-1.2
mai/16;-2.2
jun/16;2.3
jul/16;-1
ago/16;0.6
set/16;-0.1
out/16;-0.5
nov/16;0.3
dez/16;2.2
jan/17;-7.6
fev/17;1.7
mar/17;0.5
abr/17;-1.8
mai/17;0
jun/17;0.9
jul/17;-1
ago/17;-1.9
set/17;0.3
out/17;-1.3
nov/17;1.5
dez/17;1.9
jan/18;-0.9
fev/18;-2.7
mar/18;3.9
abr/18;1.8
mai/18;0.1
jun/18;-0.1
jul/18;-2.3
ago/18;6.5
set/18;-2.4
out/18;-1.5
nov/18;-0.5
dez/18;-0.1
jan/19;1.5
fev/19;-1.8
mar/19;0.9
abr/19;0.1
mai/19;5.5
jun/19;-3.5
jul/19;0.8
ago/19;-1.2
set/19;1.2
out/19;1.6
nov/19;-1.6
dez/19;1.3
jan/20;0.5
fev/20;0.5
mar/20;-31.9
abr/20;-49
mai/20;11.1
jun/20;11.8
jul/20;-6.2
ago/20;33.5
set/20;12.6
out/20;7.4
nov/20;4.2
dez/20;-2.8
jan/21;2.5
fev/21;4.6
mar/21;-22.7
abr/21;2.7
mai/21;28.8
jun/21;8.1
jul/21;-0.7
ago/21;6.1
set/21;0.4
out/21;-0.4
nov/21;4.5
dez/21;4.7
jan/22;-0.4
fev/22;-1
